# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
54.0000 m2 592655 8 20.0000 p42 p35 599 N p42->p87->p9->p12->p72->p22->p67->p66->p35
64.0000 m1 722077 14 45.0000 p70 p2 599 N p70->p38->p39->p63->p66->p67->p22->p72->p52->p8->p15->p23->p13->p86->p2
93.0000 m3 564525 13 42.0000 p24 p62 599 N p24->p27->p86->p13->p23->p14->p6->p7->p52->p9->p31->p33->p53->p62
100.0000 m5 417995 8 13.0000 p43 p56 599 N p43->p51->p7->p12->p72->p22->p67->p68->p56
111.0000 m6 275437 5 8.0000 p58 p36 599 N p58->p57->p83->p77->p39->p36
147.0000 m8 359380 6 11.0000 p64 p30 599 N p64->p22->p73->p52->p9->p31->p30
159.0000 m4 287161 8 89.0000 p24 p5 598 N p24->p27->p86->p13->p23->p14->p6->p51->p5
210.0000 m12 612426 1 2.0000 p32 p30 599 N p32->p30
237.0000 m13 374287 5 10.0000 p43 p40 599 N p43->p87->p9->p12->p6->p40
252.0000 m14 486055 2 7.0000 p53 p68 599 N p53->p65->p68
272.0000 m15 582832 4 11.0000 p58 p39 599 N p58->p57->p83->p77->p39
289.0000 m16 352865 7 13.0000 p43 p35 599 N p43->p87->p9->p31->p33->p53->p65->p35
294.0000 m17 499391 1 1.0000 p24 p25 599 N p24->p25
329.0000 m19 355561 1 1.0000 p27 p26 599 N p27->p26
414.0000 m24 710513 2 4.0000 p42 p9 599 N p42->p87->p9
461.0000 m26 541818 6 16.0000 p23 p50 599 N p23->p13->p19->p18->p21->p4->p50
481.0000 m18 492492 12 172.0000 p33 p47 597 N p33->p30->p31->p9->p12->p6->p14->p23->v5140->v3124->v5144->p48->p47
509.0000 m29 537497 4 12.0000 p23 p9 599 N p23->p14->p6->p12->p9
600.0000 m30 377645 2 85.0000 p55 p47 598 N p55->p58->p47
600.0000 m34 700409 5 12.0000 p29 p65 599 N p29->p9->p31->p33->p53->p65
606.0000 m11 278419 6 414.0000 p40 p53 593 N p40->p6->p12->p73->p64->p65->p53
647.0000 m20 276013 7 301.0000 p31 p56 594 N p31->p9->p12->p72->p22->p67->p55->p56
661.0000 m32 542264 5 108.0000 p44 p17 598 N p44->p21->p18->p19->p13->p17
662.0000 m31 463183 5 128.0000 p44 p23 597 N p44->p21->p18->p19->p13->p23
698.0000 m40 559115 3 10.0000 p34 p36 599 N p34->p53->p65->p36
709.0000 m41 398523 1 2.0000 p66 p64 599 N p66->p64
795.0000 m9 538290 11 640.0000 p60 p51 589 N p60->p47->v1107->v5141->p20->p18->p19->p13->p23->p15->p8->p51
957.0000 m55 282087 2 5.0000 p68 p62 599 N p68->p66->p62
973.0000 m38 545969 3 317.0000 p46 p45 594 N p46->v1101->v5146->p45
987.0000 m57 307725 1 1.0000 p54 p66 599 N p54->p66
995.0000 m36 733332 7 373.0000 p47 p20 593 N p47->p60->p46->v1101->v5146->p45->p44->p20
1145.0000 m63 573483 1 50.0000 p63 p39 599 N p63->p39
1172.0000 m21 314542 7 807.0000 p58 p70 586 N p58->p47->p48->v5144->v5138->p36->p38->p70
1173.0000 m49 612078 9 327.0000 p70 p61 594 N p70->p71->v5142->p74->p76->p77->p78->p56->p58->p61
1186.0000 m68 476095 3 7.0000 p71 p39 599 N p71->p70->p38->p39
1198.0000 m69 665499 1 2.0000 p46 p58 599 N p46->p58
1224.0000 m48 402524 10 396.0000 p46 p7 593 N p46->v5146->p45->p4->p21->p18->p19->p13->p23->p14->p7
1225.0000 m25 256552 14 796.0000 p58 p51 586 N p58->p61->p46->v1101->v5146->p45->p44->p20->p18->p10->p19->p13->p14->p7->p51
1228.0000 m70 644630 5 14.0000 p29 p67 599 N p29->p9->p12->p72->p22->p67
1234.0000 m71 620779 1 2.0000 p47 p49 599 N p47->p49
1290.0000 m42 399227 11 564.0000 p23 p47 590 N p23->p13->p19->p18->p21->p4->p45->v5146->v195->p46->p58->p47
1294.0000 m28 660532 3 814.0000 p44 p39 586 N p44->v5141->p35->p39
1337.0000 m77 409756 1 1.0000 p65 p68 599 N p65->p68
1365.0000 m22 405835 17 985.0000 p57 p33 583 N p57->p58->p61->p46->v1101->v5146->p45->p44->p20->p18->p19->p13->p14->p7->p12->p9->p31->p33
1382.0000 m62 346082 8 306.0000 p27 p54 594 N p27->p86->p13->p14->p7->p12->p72->p22->p54
1383.0000 m46 530315 5 585.0000 p31 p13 590 N p31->p9->p12->p7->p14->p13
1485.0000 m86 279780 1 1.0000 p57 p56 599 N p57->p56
1571.0000 m91 423072 1 1.0000 p54 p68 599 N p54->p68
1588.0000 m92 497234 1 2.0000 p36 p62 599 N p36->p62
1619.0000 m93 598159 7 18.0000 p27 p50 599 N p27->p1->p11->p19->p18->p20->p44->p50
1670.0000 m44 260289 4 910.0000 p49 p62 584 N p49->v5146->p68->p66->p62
1678.0000 m56 362016 8 709.0000 p48 p39 588 N p48->p47->p49->v5146->p68->p57->p83->p77->p39
1680.0000 m73 331565 2 410.0000 p62 p55 593 N p62->p66->p55
1688.0000 m59 420574 9 666.0000 p48 p7 588 N p48->p47->p49->v5146->p68->p67->p64->p73->p12->p7
1742.0000 m101 483321 3 7.0000 p39 p70 599 N p39->p75->p38->p70
1751.0000 m98 265082 6 67.0000 p68 p71 598 N p68->p57->p83->p77->p85->p69->p71
