# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
2247.0000 m127 570220 4 68.0000 p28 p16 598 N p28->p5->p40->p8->p16
2269.0000 m85 545047 14 801.0000 p50 p42 586 N p50->p45->p4->p21->p18->p10->p11->p13->p14->p8->p40->p5->p28->p43->p42
2270.0000 m88 313903 7 753.0000 p48 p4 587 N p48->p49->p47->v5130->v4124->v2101->p21->p4
2272.0000 m11 278419 7 2080.0000 p40 p53 565 N p40->p6->p7->p16->p9->p31->p33->p53
2293.0000 m90 321407 5 741.0000 p56 p40 587 N p56->p58->v5134->v5130->p8->p40
2297.0000 m118 408364 1 273.0000 p34 p66 595 N p34->p66
2309.0000 m25 256552 5 1880.0000 p58 p51 568 N p58->p55->p67->v5130->p7->p51
2341.0000 m129 589143 4 128.0000 p43 p6 597 N p43->p28->p5->p40->p6
2398.0000 m74 324846 4 1111.0000 p47 p11 581 N p47->v5134->p23->p13->p11
2430.0000 m43 495512 2 1689.0000 p37 p36 571 N p37->p65->p36
2437.0000 m75 429206 6 1132.0000 p48 p43 581 N p48->p47->v5134->v5130->p9->p87->p43
2440.0000 m111 694232 2 540.0000 p37 p67 591 N p37->p65->p67
2443.0000 m132 351847 6 179.0000 p33 p22 597 N p33->p30->p31->p9->p16->p73->p22
2463.0000 m103 270421 4 698.0000 p38 p30 588 N p38->p62->p37->p33->p30
2468.0000 m140 734536 3 64.0000 p33 p67 598 N p33->p37->p65->p67
2469.0000 m14 486055 2 2224.0000 p53 p68 562 N p53->p65->p68
2480.0000 m144 360111 2 8.0000 p33 p66 599 N p33->p34->p66
2483.0000 m112 697511 2 565.0000 p53 p55 590 N p53->p65->p55
2508.0000 m146 413801 1 1.0000 p22 p54 599 N p22->p54
2525.0000 m141 622267 4 102.0000 p29 p15 598 N p29->p9->p52->p8->p15
2531.0000 m61 287472 10 1474.0000 p41 p23 575 N p41->v3112->v4120->v5129->p32->p30->p31->p9->v5130->p17->p23
2540.0000 m67 412764 6 1380.0000 p47 p10 577 N p47->p59->p46->v5128->p21->p18->p10
2569.0000 m149 363840 1 12.0000 p65 p55 599 N p65->p55
2583.0000 m66 497763 12 1440.0000 p49 p25 576 N p49->p47->v5134->v5130->v4124->v2101->p21->p18->p10->p11->p86->p27->p25
2587.0000 m114 462139 10 633.0000 p48 p27 589 N p48->p47->v5130->v4124->v2101->p21->p18->p10->p11->p86->p27
2622.0000 m32 542264 7 2069.0000 p44 p17 565 N p44->p4->p21->p18->p10->p11->p13->p17
2624.0000 m31 463183 7 2090.0000 p44 p23 565 N p44->p4->p21->p18->p10->p11->p13->p23
2661.0000 m102 565435 9 911.0000 p26 p66 584 N p26->p27->p1->p11->p13->p14->p8->v4122->p22->p66
2708.0000 m151 705616 3 117.0000 p42 p12 598 N p42->p87->p9->p12
2730.0000 m159 606517 1 5.0000 p40 p51 599 N p40->p51
2774.0000 m107 331227 7 941.0000 p27 p65 584 N p27->p86->p1->v5133->p32->p33->p34->p65
2850.0000 m154 679912 6 210.0000 p50 p2 596 N p50->p4->p21->v5128->p11->p1->p2
2935.0000 m113 718126 4 998.0000 p41 p8 583 N p41->v5129->p9->p52->p8
2973.0000 m120 358981 4 912.0000 p33 p60 584 N p33->v5132->p56->p58->p60
2998.0000 m45 704026 6 2219.0000 p41 p60 563 N p41->v3112->v4120->v5132->p56->p58->p60
3032.0000 m178 310027 1 1.0000 p54 p65 599 N p54->p65
3043.0000 m128 502481 5 848.0000 p41 p28 585 N p41->v5129->p9->p87->p43->p28
3046.0000 m134 354147 4 744.0000 p23 p65 587 N p23->p15->v5130->p22->p65
3047.0000 m139 380486 7 662.0000 p25 p67 588 N p25->p27->p86->p13->p15->v5130->p22->p67
