# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
147.0000 m5 512000 10 57.0000 v174 p71 599 N v174->v5121->p52->p12->p9->p31->p33->p34->p62->p69->p71
232.0000 m1 512000 10 213.0000 v5120 p40 596 N v5120->p57->p55->p65->p34->p33->p31->p9->p12->p6->p40
281.0000 m16 512000 7 9.0000 v5118 p35 599 N v5118->p49->p47->p58->p56->p55->p66->p35
390.0000 m18 512000 5 82.0000 v5120 p71 598 N v5120->v5114->p35->p39->p69->p71
404.0000 m6 512000 2 298.0000 v179 p61 595 N v179->p46->p61
421.0000 null 512000 9 283.0000 v5119 v174 595 N v5119->p2->p1->p11->p19->p13->p17->p8->p52->v174
506.0000 m22 512000 9 136.0000 v399 p46 597 N v399->p17->p6->p12->v5121->p22->p67->p68->p58->p46
597.0000 m19 512000 3 273.0000 v177 p13 595 N v177->p10->p19->p13
624.0000 m30 512000 11 123.0000 v177 p30 597 N v177->p10->p19->p13->p15->p23->p14->p6->p12->p9->p31->p30
655.0000 m17 512000 6 364.0000 v393 p11 593 N v393->p52->p12->p6->p14->p13->p11
665.0000 m39 512000 2 5.0000 v5119 p26 599 N v5119->p24->p26
882.0000 m32 512000 8 347.0000 v181 p61 594 N v181->p5->p51->p6->p14->p15->v5121->p59->p61
895.0000 m9 512000 4 740.0000 v287 p48 587 N v287->v5121->p59->p47->p48
1015.0000 m58 512000 4 35.0000 v5121 p55 599 N v5121->p61->p46->p58->p55
1059.0000 m12 512000 7 853.0000 v5115 p55 585 N v5115->v5117->p9->p31->p33->p37->p65->p55
1090.0000 m64 512000 2 3.0000 v174 p6 599 N v174->p7->p6
1113.0000 m23 512000 10 725.0000 v5113 p17 587 N v5113->p71->p69->v5114->p34->p33->p31->p9->p12->p6->p17
1208.0000 m41 512000 4 511.0000 v394 p31 591 N v394->v180->v5115->p30->p31
1239.0000 m47 512000 8 440.0000 v5116 p7 592 N v5116->v394->v5115->p30->p33->p31->p9->p12->p7
1243.0000 m28 512000 7 772.0000 v180 p38 587 N v180->v5115->p30->p32->p33->p37->p62->p38
1264.0000 m20 512000 12 924.0000 v5116 p10 584 N v5116->v394->v180->v5115->p30->p31->p9->p12->p6->p14->p13->p19->p10
1265.0000 m60 512000 10 250.0000 v285 p9 595 N v285->p44->p20->p18->p19->p13->p14->p17->p6->p12->p9
1266.0000 m74 512000 4 7.0000 v4109 p61 599 N v4109->p49->p47->p60->p61
1287.0000 m10 512000 13 1117.0000 v173 p25 581 N v173->v4102->v5115->v5117->v393->p9->p12->p6->p14->p13->p11->p1->p2->p25
1296.0000 m45 512000 15 532.0000 v179 p31 591 N v179->v5118->p46->p61->p59->p47->v5112->p20->p18->v5119->v287->p14->p6->p12->p9->p31
1305.0000 m42 512000 12 590.0000 v3101 p9 590 N v3101->p61->p60->p47->v5112->p20->p18->v5119->v287->p14->p6->p12->p9
1362.0000 m37 512000 8 737.0000 v394 p70 587 N v394->v180->v5115->p30->p33->p53->p62->p38->p70
1364.0000 m15 512000 19 1107.0000 v291 p71 581 N v291->p60->p58->p56->p68->p54->p22->v5121->v399->p17->p14->p6->p12->p9->p31->p33->p34->p62->p69->p71
1374.0000 m14 512000 13 1132.0000 v5116 p3 581 N v5116->v394->v180->v5115->p30->p31->p9->p12->p6->p14->p23->v5112->p21->p3
1408.0000 m11 512000 11 1220.0000 v4102 p27 579 N v4102->v5115->v5117->v393->p9->p12->p6->p17->p23->p13->v5119->p27
1448.0000 m63 512000 10 380.0000 v3100 p38 593 N v3100->p23->p14->p6->p12->p9->p31->p33->p53->p62->p38
1479.0000 m35 512000 18 891.0000 v290 p46 585 N v290->v5119->v282->v4106->p14->p17->p6->p12->p52->p9->p31->p33->p53->v5114->p67->p68->p56->p58->p46
1484.0000 m61 512000 13 450.0000 v181 p56 592 N v181->p28->p51->p6->p12->p16->p9->p31->p33->p53->v5114->p67->p68->p56
1496.0000 m43 512000 11 765.0000 v286 p60 587 N v286->v5117->p9->p31->p33->p34->v5114->p67->p68->p56->p58->p60
1576.0000 m90 512000 3 33.0000 v5121 p58 599 N v5121->p67->p68->p58
1595.0000 m87 512000 6 105.0000 v5114 p47 598 N v5114->p22->p67->p68->p56->p58->p47
1601.0000 m46 512000 13 818.0000 v4106 p47 586 N v4106->p17->p6->p12->p52->p9->p31->p33->p34->v5114->p54->p68->p58->p47
1609.0000 m59 512000 12 613.0000 v4111 p47 589 N v4111->v5116->v5115->p30->p33->p34->p62->v5114->p54->p68->p56->p58->p47
1689.0000 m69 512000 6 515.0000 v291 p66 591 N v291->p61->p60->v5118->v5121->p67->p66
1728.0000 m99 512000 3 33.0000 v285 p3 599 N v285->v4108->p21->p3
