# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1797.0000 m52 698991 15 902.0000 p41 p19 584 N p41->v5180->v5173->v5168->p34->p66->p68->p57->p78->v3134->v5184->p45->p4->p21->p18->p19
1825.0000 m67 412764 12 665.0000 p47 p10 588 N p47->p59->p61->v5175->v1107->v5183->p56->p83->v5184->p44->p21->p18->p10
1845.0000 m61 287472 10 788.0000 p41 p23 586 N p41->v2111->v5174->p42->p43->p51->p5->p40->p6->p14->p23
1855.0000 m74 324846 11 568.0000 p47 p11 590 N p47->v5178->v5183->p56->p83->v5184->p45->p3->p21->p18->p19->p11
1873.0000 m90 321407 10 321.0000 p56 p40 594 N p56->v5180->v1103->v4164->p67->p54->p22->p73->p16->p7->p40
1902.0000 m75 429206 10 597.0000 p48 p43 590 N p48->v5172->v5178->v4164->p67->p64->p72->p16->p9->p87->p43
1905.0000 m111 694232 2 5.0000 p37 p67 599 N p37->p65->p67
1933.0000 m88 313903 5 416.0000 p48 p4 593 N p48->p47->v1107->v5183->p44->p4
1935.0000 m66 497763 16 792.0000 p49 p25 586 N p49->p47->p59->p61->v5175->v1107->v5183->p56->p55->p54->p64->p72->p12->p6->p40->v5170->p25
1941.0000 m112 697511 3 23.0000 p53 p55 599 N p53->p34->p66->p55
1974.0000 m60 358451 10 936.0000 p53 p24 584 N p53->v5171->v5182->p9->p16->p7->p51->p5->v5170->p25->p24
2026.0000 m118 408364 1 2.0000 p34 p66 599 N p34->p66
2027.0000 m108 269572 2 179.0000 p63 p64 597 N p63->p66->p64
2078.0000 m121 729956 1 2.0000 p44 p45 599 N p44->p45
2098.0000 m106 258725 8 280.0000 p61 p12 595 N p61->p59->p47->p49->v5178->p67->p64->p73->p12
2151.0000 m85 545047 14 683.0000 p50 p42 588 N p50->p3->p45->v5181->v5183->p47->p49->v5178->p67->p22->p72->p12->p9->p87->p42
2190.0000 m96 473879 3 541.0000 p53 p59 590 N p53->p62->v5173->p59
2202.0000 m18 492492 6 1893.0000 p33 p47 568 N p33->p34->p62->p63->v5173->p59->p47
2204.0000 m87 282521 3 702.0000 p66 p12 588 N p66->p64->p72->p12
2215.0000 m127 570220 4 36.0000 p28 p16 599 N p28->p5->p40->p7->p16
2223.0000 m82 582609 4 803.0000 p34 p23 586 N p34->p62->v5168->v3144->p23
2225.0000 m129 589143 4 12.0000 p43 p6 599 N p43->p28->p5->p40->p6
2250.0000 m130 604265 2 18.0000 p67 p63 599 N p67->p65->p63
2277.0000 m132 351847 3 13.0000 p33 p22 599 N p33->p34->p65->p22
2284.0000 m120 358981 11 223.0000 p33 p60 596 N p33->p31->p9->p16->p72->p64->p67->v5186->v4164->v5181->p58->p60
2326.0000 m79 555465 7 958.0000 p35 p29 584 N p35->p62->v5180->v4161->v5178->p52->p9->p29
2333.0000 m126 323985 4 170.0000 p34 p49 597 N p34->p66->p54->v5172->p49
2341.0000 m119 288446 3 298.0000 p56 p39 595 N p56->p78->p82->p39
2372.0000 m105 703200 11 570.0000 p53 p59 590 N p53->p37->p34->v5180->v5171->p74->p76->p82->p78->p57->p58->p59
2415.0000 m140 734536 3 11.0000 p33 p67 599 N p33->p34->p66->p67
2439.0000 m117 698745 9 431.0000 p58 p8 592 N p58->p59->p47->p48->v5172->p22->p64->p72->p52->p8
2475.0000 m144 360111 2 3.0000 p33 p66 599 N p33->p34->p66
2480.0000 m122 642480 4 385.0000 p29 p8 593 N p29->p87->p43->p51->p8
2481.0000 m99 368467 11 778.0000 p53 p21 587 N p53->p33->p31->p9->p12->p72->p64->p54->v5172->v5183->p18->p21
2498.0000 m84 579971 11 1045.0000 p42 p4 582 N p42->p87->p9->p16->p73->p64->v5186->v5172->p18->p20->p44->p4
2510.0000 m146 413801 1 3.0000 p22 p54 599 N p22->p54
2520.0000 m137 300908 6 168.0000 p55 p40 597 N p55->p54->p64->p72->p52->p7->p40
2524.0000 m65 339499 4 1398.0000 p44 p58 576 N p44->v5183->v5182->p46->p58
2525.0000 m133 593860 6 242.0000 p55 p40 595 N p55->p54->p64->p72->p52->p8->p40
2572.0000 m149 363840 1 15.0000 p65 p55 599 N p65->p55
2596.0000 m31 463183 4 2062.0000 p44 p23 565 N p44->v5183->v2126->p15->p23
2598.0000 m32 542264 4 2045.0000 p44 p17 565 N p44->v5183->v2126->p15->p17
2641.0000 m89 347595 9 1105.0000 p37 p2 581 N p37->p33->p31->p9->p52->v3141->v5187->v5170->p25->p2
2643.0000 m97 559528 10 975.0000 p36 p24 583 N p36->p62->p34->p33->p31->p9->p12->v5187->v5170->p25->p24
2654.0000 m116 735626 4 665.0000 p71 p14 588 N p71->p70->v5179->p7->p14
2659.0000 m94 554679 4 1042.0000 p23 p9 582 N p23->p17->p6->p12->p9
2674.0000 m156 359782 2 3.0000 p22 p53 599 N p22->p65->p53
2700.0000 m81 612278 8 1299.0000 p68 p1 578 N p68->p57->p78->p77->p39->p63->p62->v5173->p1
2721.0000 m50 548774 6 1860.0000 p33 p25 569 N p33->p31->p9->p12->v5187->v4158->p25
2724.0000 m114 462139 5 770.0000 p48 p27 587 N p48->p47->p58->p56->v5173->p27
