# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
139.0000 null 512000 6 49.0000 v182 v4114 599 N v182->v5129->p52->p16->p7->p14->v4114
149.0000 m4 512000 8 78.0000 v5121 p16 598 N v5121->p79->p74->p38->p63->p65->p64->p72->p16
212.0000 m8 512000 15 74.0000 v5127 p70 598 N v5127->p2->p27->p1->p11->p19->p13->p17->p6->p12->p72->p22->p65->p63->p38->p70
232.0000 m2 512000 4 196.0000 v4115 p59 596 N v4115->p78->p56->p58->p59
355.0000 m18 512000 13 47.0000 v5128 p18 599 N v5128->v5122->p63->p36->p65->p67->p64->p72->p16->p7->p17->p13->p19->p18
365.0000 m21 512000 5 10.0000 v3101 p13 599 N v3101->p72->p16->p7->p14->p13
371.0000 m22 512000 1 1.0000 v3107 p17 599 N v3107->p17
441.0000 m20 512000 1 101.0000 v5124 p41 598 N v5124->p41
603.0000 m32 512000 9 68.0000 v189 p69 598 N v189->p5->p40->p7->p16->p72->p64->p65->p63->p69
669.0000 m39 512000 5 9.0000 v5127 p19 599 N v5127->p24->p27->p1->p11->p19
799.0000 m46 512000 1 16.0000 v4114 p17 599 N v4114->p17
814.0000 m6 512000 10 708.0000 v187 p12 588 N v187->p46->p59->p60->v299->p57->p68->p67->p22->p73->p12
888.0000 m42 512000 8 173.0000 v3109 p79 597 N v3109->p61->p58->p56->p78->p77->p76->p74->p79
1012.0000 m58 512000 2 32.0000 v5129 p59 599 N v5129->p61->p59
1099.0000 m48 512000 4 285.0000 v296 p31 595 N v296->v5122->p34->p33->p31
1109.0000 m33 512000 5 555.0000 v4116 p11 590 N v4116->p21->p20->p18->p19->p11
1164.0000 m27 512000 8 709.0000 v293 p6 588 N v293->p45->p44->p21->p18->p19->p13->p14->p6
1256.0000 m45 512000 7 492.0000 v187 p13 591 N v187->v5126->p46->p59->p47->v5120->p23->p13
1276.0000 m15 512000 13 1019.0000 v299 p24 583 N v299->p57->p68->p54->p64->p72->p16->p8->p15->p13->p11->p1->p2->p24
1455.0000 m77 512000 2 144.0000 v3109 p46 597 N v3109->p58->p46
1481.0000 m52 512000 5 599.0000 v186 p29 590 N v186->p51->p7->p16->p9->p29
1544.0000 m91 512000 2 3.0000 v5125 p13 599 N v5125->p14->p13
1569.0000 m87 512000 4 97.0000 v5129 p59 598 N v5129->p67->p68->p58->p59
1657.0000 m3 512000 4 1603.0000 v185 p27 573 N v185->p10->p11->p1->p27
1699.0000 m95 512000 7 90.0000 v3109 p31 598 N v3109->p58->p68->p55->p66->p34->p33->p31
1749.0000 m99 512000 3 69.0000 v5126 p35 598 N v5126->p55->p65->p35
1824.0000 m60 512000 7 809.0000 v293 p78 586 N v293->p44->v291->v5120->p46->p58->p56->p78
1835.0000 m108 512000 3 6.0000 v3106 p30 599 N v3106->p53->p33->p30
1851.0000 m109 512000 2 3.0000 v292 p8 599 N v292->p52->p8
1909.0000 m54 512000 7 995.0000 v3109 p45 583 N v3109->v3100->v5129->p61->p46->v5120->p44->p45
1910.0000 m81 512000 5 534.0000 v299 p45 591 N v299->p61->p46->v5120->p44->p45
1919.0000 m56 512000 11 971.0000 v3106 p19 583 N v3106->p37->p34->p66->p68->p58->p46->v5120->p44->p21->p18->p19
1928.0000 m90 512000 10 403.0000 v3109 p27 593 N v3109->p58->p46->v5120->p44->p21->p18->p10->p11->p1->p27
1939.0000 m80 512000 9 582.0000 v299 p1 590 N v299->p61->p46->v5120->p44->p21->p18->p10->p11->p1
1971.0000 m116 512000 2 3.0000 v4116 p20 599 N v4116->p21->p20
2017.0000 m7 512000 5 1895.0000 v5125 p67 568 N v5125->p12->p16->v5122->v5126->p67
2096.0000 m102 512000 8 368.0000 v180 p5 593 N v180->p18->p10->p11->p1->v5125->v182->p40->p5
2109.0000 m25 512000 6 1686.0000 v185 p52 571 N v185->v5127->v5125->v182->p40->p7->p52
