# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
52.0000 m1 722077 12 33.0000 p70 p2 599 N p70->p38->p39->p35->p66->p64->p73->p12->p6->p17->p13->p86->p2
54.0000 m2 592655 9 20.0000 p42 p35 599 N p42->p43->p51->p40->p8->p12->p73->p64->p66->p35
99.0000 m5 417995 9 12.0000 p43 p56 599 N p43->p51->p40->p8->p12->p73->p64->p67->p68->p56
111.0000 m6 275437 5 8.0000 p58 p36 599 N p58->p56->p83->p77->p39->p36
134.0000 m4 287161 7 64.0000 p24 p5 598 N p24->p27->p86->p13->p17->p6->p51->p5
142.0000 m7 476550 8 22.0000 p37 p68 599 N p37->p33->p31->p9->p16->p73->p22->p54->p68
142.0000 m3 564525 11 91.0000 p24 p62 598 N p24->p27->p86->p13->p15->p8->p12->p9->p31->p33->p37->p62
150.0000 m8 359380 5 14.0000 p64 p30 599 N p64->p72->p12->p9->p31->p30
210.0000 m12 612426 1 2.0000 p32 p30 599 N p32->p30
237.0000 m13 374287 6 10.0000 p43 p40 599 N p43->p42->p87->p9->p12->p6->p40
287.0000 m16 352865 8 11.0000 p43 p35 599 N p43->p42->p87->p9->p31->p33->p37->p62->p35
294.0000 m17 499391 1 1.0000 p24 p25 599 N p24->p25
329.0000 m19 355561 1 1.0000 p27 p26 599 N p27->p26
357.0000 m20 276013 7 11.0000 p31 p56 599 N p31->p9->p12->p73->p22->p54->p68->p56
364.0000 m9 538290 12 209.0000 p60 p51 596 N p60->p59->p46->v5173->p45->p3->p20->p18->p19->p13->p15->p8->p51
416.0000 m24 710513 2 6.0000 p42 p9 599 N p42->p87->p9
463.0000 m26 541818 8 18.0000 p23 p50 599 N p23->p17->p13->p11->p10->p18->p20->p3->p50
601.0000 m34 700409 5 13.0000 p29 p65 599 N p29->p9->p31->p33->p37->p65
