# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
2100.0000 m122 642480 3 5.0000 p29 p8 599 N p29->p9->p12->p8
2185.0000 m127 570220 4 6.0000 p28 p16 599 N p28->p51->p6->p12->p16
2217.0000 m129 589143 2 4.0000 p43 p6 599 N p43->p51->p6
2230.0000 m45 704026 4 1451.0000 p41 p60 575 N p41->v4159->v5170->p58->p60
2230.0000 m96 473879 4 581.0000 p53 p59 590 N p53->v3139->p72->v5170->p59
2236.0000 m74 324846 5 949.0000 p47 p11 584 N p47->v3144->v5173->p23->p13->p11
2241.0000 m67 412764 6 1081.0000 p47 p10 581 N p47->v3144->v5173->p23->p13->p11->p10
2245.0000 m73 331565 2 975.0000 p62 p55 583 N p62->p66->p55
2279.0000 m94 554679 4 662.0000 p23 p9 588 N p23->p17->p6->p12->p9
2288.0000 m52 698991 9 1393.0000 p41 p19 576 N p41->v4159->v5170->p87->p9->p52->p7->p17->p13->p19
2290.0000 m132 351847 5 26.0000 p33 p22 599 N p33->p31->p9->p12->p73->p22
2300.0000 m89 347595 9 764.0000 p37 p2 587 N p37->p33->p31->p9->p12->p6->p17->p13->p86->p2
2386.0000 m75 429206 8 1081.0000 p48 p43 581 N p48->p47->v3144->v5173->p23->p17->p6->p51->p43
2397.0000 m107 331227 8 564.0000 p27 p65 590 N p27->p86->p13->p23->v5173->p12->p73->p22->p65
2420.0000 m118 408364 1 396.0000 p34 p66 593 N p34->p66
2432.0000 m140 734536 6 28.0000 p33 p67 599 N p33->p31->p9->p12->p73->p64->p67
2454.0000 m141 622267 5 31.0000 p29 p15 599 N p29->p9->p12->p6->p17->p15
2477.0000 m27 741268 8 2016.0000 p40 p41 566 N p40->p6->p12->p9->p87->p42->v5169->v2118->p41
2478.0000 m144 360111 2 6.0000 p33 p66 599 N p33->p34->p66
2487.0000 m134 354147 6 185.0000 p23 p65 596 N p23->p17->p6->p12->p73->p64->p65
2495.0000 m99 368467 11 792.0000 p53 p21 586 N p53->p33->p31->p9->p12->p6->p17->p13->p11->p10->p18->p21
2501.0000 m80 624519 6 1115.0000 p45 p58 581 N p45->p50->p84->v195->v3146->p46->p58
2515.0000 m146 413801 1 8.0000 p22 p54 599 N p22->p54
2535.0000 m15 582832 4 2274.0000 p58 p39 562 N p58->p56->p83->p77->p39
2543.0000 m148 350709 4 5.0000 p29 p32 599 N p29->p9->p31->p33->p32
2544.0000 m88 313903 4 1027.0000 p48 p4 582 N p48->p47->v3140->p21->p4
2545.0000 m60 358451 11 1507.0000 p53 p24 574 N p53->v5168->p72->p52->p7->p6->p40->p5->v4162->v2119->v1106->p24
2566.0000 m149 363840 1 9.0000 p65 p55 599 N p65->p55
2566.0000 m55 282087 2 1614.0000 p68 p62 573 N p68->p66->p62
2634.0000 m59 420574 5 1612.0000 p48 p7 573 N p48->p47->v3136->p23->p17->p7
2638.0000 m124 322340 6 507.0000 p28 p49 591 N p28->p51->p6->p12->v5173->v5170->p49
2645.0000 m30 377645 3 2130.0000 p55 p47 564 N p55->p56->p58->p47
2647.0000 m48 402524 7 1819.0000 p46 p7 569 N p46->p59->p47->v2117->v3136->p23->p17->p7
2649.0000 m110 726193 9 768.0000 p24 p48 587 N p24->p27->p86->p13->p17->p8->v5173->v5170->p49->p48
2659.0000 m106 258725 8 841.0000 p61 p12 585 N p61->p46->p59->p47->v3136->p23->p15->p8->p12
2661.0000 m120 358981 8 600.0000 p33 p60 590 N p33->p31->p9->p12->v5173->v5170->p49->p47->p60
